GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB200829A,-74.768,204.076,-62.668,-49.568,1.203408e-04 ,2.0040569112341506
GRB200819A,-0.712,30.328,0.312,27.256,4.437842e-07 ,1.140275904063986
GRB200809B,0.0,4.508,0.084,4.284,9.234936e-07 ,2.254498758263797
GRB200806A,-0.132,61.308,3.364,42.052,2.656631e-05 ,1.8557097595498626
GRB200729A,0.536,136.536,1.536,123.536,4.187539e-06 ,2.6634821034423735
GRB200716C,-0.42,112.632,-0.036,86.536,5.820799e-06 ,1.363766032956069
GRB200713A,18.448,65.98,21.14,63.112,9.426877e-07 ,0.8624622360220044
GRB200711A,-4.72,29.728,-3.264,26.096,9.858691e-06 ,1.6090517041661587
GRB200701A,-6.808,42.168,-5.12,33.66,1.301874e-06 ,1.1451963476581057
GRB200630A,-0.512,16.636,-0.248,14.596,7.617354e-07 ,1.467641087499779
GRB200612A,-11.916,433.432,-1.204,424.72,1.056344e-05 ,1.617484480180879
GRB200608A,18.328,161.176,20.648,142.2,1.926098e-06 ,1.119283403082994
GRB200529A,-0.688,93.428,1.096,81.012,4.479731e-06 ,1.1410379387225817
GRB200528A,-0.732,132.344,4.74,64.724,1.934764e-05 ,0.9666294173998281
GRB200522A,-0.016,0.672,-0.004,0.612,2.019289e-07 ,1.6406276244096127
GRB200519A,-0.452,100.704,3.248,74.944,2.192353e-05 ,1.5176443291815565
GRB200512A,-2.864,78.136,-0.864,73.136,1.276336e-06 ,1.3790497737556562
GRB200509A,-0.796,848.992,3.364,831.592,1.208862e-05 ,1.482108805314849
GRB200425A,-47.592,58.408,-41.592,39.408,2.453272e-06 ,1.8501203851486274
GRB200416A,-2.336,4.96,-1.808,4.24,1.445057e-06 ,1.2806486580416134
GRB200411A,-0.02,0.248,-0.004,0.216,2.224615e-07 ,2.4117377079870344
GRB200410A,-90.88,50.624,-62.768,45.952,2.353892e-06 ,1.8920825794156153
GRB200409A,-0.512,19.488,-0.512,15.488,3.011688e-07 ,1.1910224066874489
GRB200306C,-12.064,48.016,-8.816,44.336,7.913708e-06 ,2.4807914466140617
GRB200306A,-3.672,49.952,3.32,36.284,1.240471e-05 ,1.29738827245579
GRB200303A,-36.548,193.26,-30.344,63.876,2.162968e-05 ,1.315164043631622
GRB200228B,-0.844,6.968,-0.58,6.788,3.716655e-07 ,1.0220922780832398
GRB200227A,-0.496,87.732,2.336,32.664,1.077721e-05 ,1.5361023153596578
GRB200224A,-0.792,49.208,-0.792,44.208,4.657791e-07 ,1.6077916849806317
GRB200219A,-15.6,304.4,-15.6,272.4,2.309564e-06 ,1.7330451148444714
GRB200216B,-0.72,79.72,0.488,67.936,1.594381e-06 ,1.0285134189031504
GRB200215A,-9.972,5.368,-7.336,3.812,2.109772e-06 ,1.6048343506386935
GRB200205B,47.1,520.396,54.032,507.944,7.912971e-06 ,1.1159892543025725
GRB200131A,-3.452,46.556,-1.964,30.776,1.386363e-05 ,1.6474041706949454
GRB200127A,-144.312,92.936,-138.744,78.28,3.862465e-06 ,1.4447078529797714
GRB200125A,-36.224,427.736,-15.472,334.864,1.190908e-05 ,1.0933520146266988
GRB200122A,-8.82,229.076,1.884,192.48,1.861635e-05 ,1.3493049574290836
GRB200115A,-122.904,231.188,-54.352,187.788,1.268164e-05 ,1.1942904954862537
GRB200109A,-31.448,112.552,-31.448,80.552,4.254441e-06 ,1.7650214841695653
GRB200107B,-29.856,77.036,-21.84,64.836,5.687190e-06 ,1.6208774868977167
GRB191228A,-39.348,191.284,-31.964,161.852,3.104840e-06 ,1.055115558831003
GRB191227A,-30.56,105.92,-13.968,41.92,5.018716e-05 ,1.6931678597863122
GRB191221B,-15.28,96.72,-15.28,32.72,4.042574e-05 ,1.7585309731889263
GRB191220A,-2.464,248.416,-0.384,175.2,1.406762e-06 ,1.21322100975103
GRB191218A,-0.232,46.032,0.544,45.208,1.786593e-05 ,1.9834443772838422
GRB191213A,-33.524,111.068,-19.024,99.968,3.829907e-06 ,1.5676528347092131
GRB191130A,0.0,22.052,2.08,19.64,9.574555e-07 ,1.1062158162720463
GRB191123A,-3.048,335.968,-1.032,283.78,1.878494e-06 ,1.4541533422332518
GRB191122A,-11.12,196.104,-6.52,119.216,1.066006e-05 ,1.3140133828417024
GRB191106A,-1.356,2.38,-1.252,2.184,8.500939e-07 ,2.4497393755143357
GRB191101A,-21.244,143.504,-16.48,126.228,2.893501e-06 ,1.338628265064027
GRB191031D,-0.032,0.308,-0.02,0.268,1.163828e-06 ,2.556937103470945
GRB191031C,-37.984,66.492,-33.24,45.26,1.184339e-05 ,1.4115942711629894
GRB191031A,-6.264,8.596,-4.248,7.884,1.699764e-06 ,1.9760590966211036
GRB191029A,-4.0,42.0,-3.0,38.0,1.681620e-06 ,1.2970002976393256
GRB191024A,-0.956,7.448,-0.584,6.5,7.085101e-07 ,1.2575928659398352
GRB191019A,-0.828,84.32,1.34,65.688,1.297551e-05 ,0.8604985228145812
GRB191017B,-1.3,3.716,-0.92,3.408,7.191635e-07 ,1.2669508598648604
GRB191016A,-42.828,118.816,-28.976,97.704,9.287981e-06 ,1.3385048502096146
GRB191011A,-0.212,7.96,0.016,7.368,4.744586e-07 ,1.1491579567408028
GRB191004B,-1.452,382.784,0.864,300.992,6.970233e-06 ,2.0659037033080994
GRB191004A,-0.092,2.576,-0.012,2.432,2.448138e-06 ,1.6607715156223402
GRB191001B,4.728,126.12,8.328,115.464,7.553334e-06 ,1.442380846459513
GRB190926A,-0.004,386.468,11.208,373.548,3.035495e-06 ,1.0095084438544197
GRB190829A,-51.896,7.24,-50.552,6.344,7.275639e-06 ,0.7578441232824623
GRB190828B,-42.36,898.36,-28.024,687.832,8.746638e-06 ,1.746424214726101
GRB190824A,-71.888,114.64,-62.976,106.384,1.395947e-05 ,1.3806383565441183
GRB190821A,-3.308,59.492,-1.072,56.024,3.205307e-06 ,1.0412856785053972
GRB190816A,-206.48,341.552,-118.448,257.312,1.613655e-05 ,1.3845859770754452
GRB190727B,-21.488,38.956,-17.764,21.432,3.358880e-05 ,1.5347234585431075
GRB190719C,-0.28,202.124,0.62,186.448,8.197293e-06 ,1.321021237343666
GRB190718A,0.568,720.568,0.568,704.568,8.030311e-28 ,1.0016130555555557e-30
GRB190706B,-0.248,51.336,0.328,43.912,9.440419e-07 ,1.2920819695817969
GRB190701A,35.016,89.992,35.912,88.344,1.233402e-06 ,1.2447441337751168
GRB190630C,-1.92,50.232,-0.588,37.796,3.193040e-06 ,1.0928487126093471
GRB190630B,-1.684,4.704,-1.304,4.264,5.374090e-07 ,1.821838947816138
GRB190627A,-0.012,2.944,0.12,2.812,1.343397e-07 ,0.8625614997815301
GRB190613B,-2.848,175.652,-2.232,158.588,3.332102e-06 ,1.3553455269187684
GRB190613A,0.624,20.32,1.744,19.376,3.625986e-06 ,2.1037295312886353
GRB190611A,-0.872,63.824,-0.02,41.74,6.622077e-07 ,1.5235625810281
GRB190610A,0.212,0.952,0.248,0.88,1.844683e-06 ,4.070897426915802
GRB190604B,-39.776,238.04,-4.708,215.468,2.631372e-05 ,1.2194946337514754
GRB190519A,-52.472,5.624,-41.672,2.808,2.897118e-05 ,1.2798533071832214
GRB190515B,-25.544,31.8,-20.136,26.376,2.227602e-06 ,1.2589544100195127
GRB190512A,-9.7,43.3,-8.188,31.884,1.713546e-06 ,1.0368598794452568
GRB190511A,-24.272,6.88,-21.792,5.872,1.588101e-05 ,1.8919509007185293
GRB190427A,-0.008,0.312,-0.008,0.184,2.526039e-07 ,1.9435705045391944
GRB190424A,-1.312,14.368,-0.804,9.032,2.151870e-06 ,1.5548910187340912
GRB190422A,6.428,359.532,18.252,287.268,9.312317e-06 ,1.2227842756924283
GRB190331A,-0.056,4.504,-0.004,4.332,9.353513e-07 ,1.8655213037997396
GRB190326A,0.0,0.104,0.0,0.076,4.025532e-08 ,
GRB190324A,-0.408,57.608,17.272,40.056,1.267149e-05 ,1.4867571565770958
GRB190320A,-25.2,44.8,-23.2,39.8,5.690600e-06 ,2.0095090811344942
GRB190311A,-2.12,22.008,-1.16,12.792,1.419506e-06 ,1.283246402092592
GRB190220A,-0.12,11.88,-0.12,9.88,1.330856e-06 ,1.0571092597918006
GRB190219A,-105.74,88.496,-89.332,78.408,4.791254e-06 ,0.9059619294288022
GRB190211A,-9.76,1.664,-9.44,1.456,1.151665e-06 ,2.0731959028870715
GRB190204A,-6.52,54.128,-2.588,23.736,2.528837e-05 ,1.6827902523200462
GRB190203A,-56.472,229.96,-48.6,37.96,3.545790e-05 ,1.9194186410360594
GRB190202A,-4.824,23.4,-2.136,13.864,1.288152e-05 ,1.763194005958133
GRB190123A,-1.22,27.648,-0.34,24.784,1.900959e-06 ,2.1899283669064022
GRB190114C,-6.604,702.808,0.26,374.984,1.517884e-04 ,1.5114016023536647
GRB190114B,-1.164,27.9,0.168,26.66,7.080039e-07 ,1.1988916791999635
GRB190114A,126.4,199.58,128.068,195.164,1.074268e-06 ,1.0906869416229252
GRB190110A,-0.796,10.996,0.152,9.456,3.984867e-06 ,1.3183477571075926
GRB190109B,-4.26,3.308,-3.56,2.952,8.011447e-07 ,1.465312016281603
GRB190109A,5.868,206.68,12.256,127.264,8.953724e-06 ,1.150190828548116
GRB190106A,-0.124,96.616,1.856,79.952,9.860892e-06 ,1.3718929528132553
GRB190103B,-10.432,16.176,-4.88,14.64,2.022110e-05 ,1.3484038289913307
GRB181228A,-3.984,337.936,-0.96,254.192,1.904930e-05 ,1.5246843281948073
GRB181224A,-12.036,3.304,-9.508,2.98,1.013924e-06 ,1.9120975881290492
GRB181213A,-0.408,15.944,0.136,15.432,2.432919e-06 ,1.515933204305656
GRB181203A,-1.796,15.852,-0.812,14.248,1.148880e-06 ,1.232253514556014
GRB181202A,-0.256,6.756,0.02,6.58,4.144307e-07 ,1.5312281405179786
GRB181126A,-0.068,2.164,0.016,2.108,6.971467e-07 ,1.9322350392459602
GRB181125A,-0.18,11.24,0.072,10.584,5.649579e-07 ,1.652190170738719
GRB181123B,0.032,0.312,0.04,0.3,3.867125e-07 ,3.028934868222143
GRB181110A,-109.304,129.808,-39.268,99.156,1.331035e-05 ,1.0112768953591915
GRB181103A,-1.224,9.96,-0.728,8.44,4.019313e-07 ,1.2190176253442948
GRB181030A,3.192,443.004,18.244,321.44,9.526539e-06 ,1.2665430144972156
GRB181027A,-18.452,85.444,-7.956,73.348,5.275645e-06 ,1.5873396479030308
GRB181023A,-29.016,36.94,-21.412,35.572,2.038124e-06 ,1.4017485461213255
GRB181022A,-1.644,7.964,-1.156,6.78,4.801457e-07 ,2.9330534414382137
GRB181020A,-1.448,271.204,0.796,238.812,1.675888e-05 ,1.7416872788428637
GRB181016A,-18.004,110.18,-12.952,98.392,3.310000e-06 ,1.5986740056503421
GRB181013A,18.368,123.968,18.976,123.184,4.107465e-07 ,1.8004870722551258
GRB181010A,-4.044,15.212,-2.376,13.188,1.216063e-06 ,1.5299251207148294
GRB181003A,-11.196,18.008,-8.6,16.892,8.495576e-07 ,1.5496366063684293
GRB181002A,-28.376,43.624,-22.872,40.536,1.139495e-06 ,1.0219034903962472
GRB180930A,-3.244,4.204,-2.98,3.824,2.933051e-07 ,1.2841329361879545
GRB180925A,-4.44,104.028,-3.48,79.152,7.218047e-06 ,1.5597309259730527
GRB180924A,-84.668,26.348,-76.408,18.408,1.917313e-06 ,1.127768614103833
GRB180905A,-58.932,146.66,-47.26,118.084,7.037737e-06 ,1.4350598697980121
GRB180904A,0.28,6.556,1.332,5.964,5.639530e-07 ,2.4811895883246113
GRB180828A,-7.288,28.712,-7.288,5.712,2.364408e-05 ,2.2696041401080977
GRB180823A,-37.532,72.048,-29.268,51.028,1.327366e-05 ,1.385893905784384
GRB180821A,1.0,65.0,1.0,65.0,2.207801e-06 ,1.3897927759448838
GRB180818B,-93.58,62.744,-89.712,47.748,3.516001e-06 ,1.2562322544434923
GRB180818A,-2.144,14.096,-1.6,12.112,3.321208e-07 ,1.0931003123486216
GRB180812A,-0.84,16.628,-0.088,16.44,1.690803e-06 ,2.074101466474527
GRB180809B,-36.08,302.308,3.628,236.872,1.516842e-04 ,1.7228598075662065
GRB180805B,-0.1,126.532,0.116,122.356,2.013186e-06 ,2.397177557471546
GRB180805A,0.036,1.9,0.116,1.792,1.911948e-07 ,1.6570289141107173
GRB180728A,-0.244,36.512,11.672,20.356,4.163949e-05 ,1.038197497225844
GRB180727A,-0.052,1.332,0.024,1.08,4.914803e-07 ,1.4108790896430603
GRB180721A,-0.392,48.916,0.084,47.684,1.230113e-06 ,1.955239423355549
GRB180720C,-150.52,13.444,-112.22,10.768,4.334548e-06 ,1.6577919284474993
GRB180720B,-3.816,527.728,0.22,108.62,1.647150e-04 ,1.6057579296664999
GRB180718A,0.0,0.1,0.008,0.092,3.958494e-09 ,0.39318770141510984
GRB180715A,-0.144,0.632,-0.112,0.572,3.815327e-07 ,2.970708089133167
GRB180709A,0.596,223.72,2.748,197.556,2.687940e-06 ,1.8610143655297302
GRB180706A,-15.92,51.168,-2.112,40.332,3.397018e-06 ,1.1101966952310258
GRB180705A,0.26,133.044,3.852,110.636,3.358675e-06 ,1.5003753888574203
