redshift,log_sfr,log_mass,is_star_forming,u_flux,r_flux,zpp_flux,yhsc_flux,h_flux,ks_flux,splash1_flux,splash2_flux
0.173,-0.185166,10.0822,0,9.07969,107.628,249.303,280.159,426.952,474.214,441.685,343.366
0.116,-0.470215,9.02189,0,8.5704,52.8843,105.81,117.266,156.321,146.494,167.301,115.666
0.232,0.228303,10.2425,0,6.5884,89.0809,215.423,247.414,387.1,455.838,437.717,362.451
0.208,-1.79732,7.9898,1,0.24117,0.975295,1.47919,1.49645,2.84649,3.43519,6.33809,7.14621
0.489,-0.430443,10.6505,0,0.38235,10.4605,34.2777,39.1531,70.9175,87.3705,74.8936,57.3213
0.678,0.122107,10.4123,0,0.0438691,1.22724,6.43574,7.16646,16.6067,21.4905,23.0916,14.2078
0.361,-0.920877,9.69885,0,0.226375,3.42788,8.13524,9.05435,13.099,16.6065,8.01048,6.31182
0.694,0.0433057,10.6287,0,0.0827751,2.3059,11.2658,13.4475,26.1122,34.9273,35.6543,22.5154
0.375,-0.128857,9.20539,0,0.351047,1.92808,4.17798,4.10534,6.05046,6.79352,5.03147,3.4708
0.361,-0.0163066,9.88971,0,0.556249,6.64864,15.0787,17.0891,25.5975,32.2957,14.8784,12.335
0.348,0.0128029,10.1715,0,0.676152,10.616,25.9527,29.2294,47.1828,59.6118,31.3861,25.9844
0.041,-2.03132,7.12945,1,1.98902,4.95698,6.65745,6.74751,6.5982,5.8806,7.13197,8.37517
0.474,0.186403,9.98232,1,2.53434,10.7041,20.6501,24.3125,29.0815,33.2206,29.3819,30.4662
0.534,0.632128,10.0046,1,2.38644,8.66612,17.6676,19.8102,27.3053,32.6369,27.9317,23.3064
0.519,0.518314,9.13801,1,1.89868,3.12925,4.0951,5.16213,5.17346,5.93185,2.72821,2.19412
0.645,0.783575,9.35963,1,1.71725,2.66322,3.26171,3.27028,3.89615,3.40247,2.60418,1.8531
0.232,-1.10185,10.3587,0,3.67926,52.3154,127.763,148.598,237.336,281.486,181.992,146.855
0.504,0.491255,9.42439,1,2.07036,6.09989,9.73016,10.9003,10.6842,12.735,9.25994,8.15719
0.375,0.571884,9.86441,0,2.28978,12.2096,28.7658,34.8789,53.3146,67.5116,54.2968,52.0878
0.948,1.39736,10.1707,1,2.41928,3.90492,10.5755,11.4811,15.5735,20.3799,26.2539,20.8115
1.574,0.886963,11.099,0,0.172512,0.747373,2.83028,4.42496,14.2359,17.8523,25.9228,28.4662
0.519,0.143395,10.7599,0,0.324719,9.9378,37.7141,43.2623,85.9306,112.843,104.576,76.5346
0.208,-0.411915,8.48013,1,1.66593,7.21616,12.4788,13.1324,15.7017,17.3658,10.4338,8.78915
0.799,0.910323,9.79847,1,0.974769,1.87983,4.78493,4.75424,5.9122,6.97461,6.85149,4.96088
0.678,0.309366,10.5943,0,0.177511,3.07291,14.7455,18.4766,36.2897,46.3073,58.7656,38.2314
