redshift,log_sfr,log_mass,is_star_forming,u_flux,r_flux,zpp_flux,yhsc_flux,h_flux,ks_flux,splash1_flux,splash2_flux
1.152,-0.255947,11.2048,0,0.125348,1.34081,11.7542,16.7254,41.0885,61.1064,103.404,88.9737
0.375,0.524997,9.89458,0,2.10172,13.5527,33.5684,41.0432,70.6673,92.0259,73.1431,71.4776
0.853,1.23102,10.3102,1,1.55281,4.23761,16.0456,18.0981,33.3391,46.7002,73.8618,52.5585
0.711,0.29874,10.5391,0,0.112501,1.79385,9.68294,11.4497,23.2825,31.5684,31.5338,19.8266
0.489,-0.0299969,10.0764,0,0.50735,4.36559,13.1087,15.1594,25.5247,31.6134,24.4191,18.4462
0.817,1.18746,9.81565,1,2.4936,4.08235,8.59391,8.81788,15.2606,22.3981,37.6316,26.511
0.711,0.42563,10.2282,0,0.0899326,1.10346,5.17526,6.50868,11.5738,15.7289,16.6209,8.75378
0.361,-0.0592607,8.70872,1,1.10194,3.48556,5.22971,5.31227,5.55689,6.4021,5.06244,5.51297
1.284,1.77165,10.6855,1,0.791636,2.09928,6.70135,8.91082,18.4643,24.9927,42.3606,45.0794
0.245,-0.200782,8.77156,0,2.25253,13.1673,28.5449,32.4398,59.7067,78.1571,57.2635,52.7047
0.729,0.995505,10.0037,0,0.434057,2.34332,8.12531,8.95276,18.6189,26.2211,29.2064,20.3184
0.348,-0.136193,9.07259,1,0.991647,3.80556,6.45996,6.66826,7.31743,5854.361014731867,6.4608,5.69797
0.928,-0.156249,10.7737,0,0.161918,1.54197,10.4289,11.7203,22.1039,28.502,41.1891,31.9493
0.746,0.821002,9.80759,1,0.663938,1.93626,4.94457,5.30817,8.49805,10.4265,11.1141,8.15666
0.208,-0.114141,8.68893,1,3.15669,14.009,24.1285,25.8454,32.0321,35.5854,21.3833,17.812
0.694,-0.108566,10.1777,0,0.0724507,1.15133,5.48087,6.31664,13.3717,18.3282,21.137,13.5934
0.948,-0.0509392,10.7963,0,0.0527599,1.00324,7.1631,8.51182,18.0523,25.8166,34.8732,24.6565
0.375,-0.231029,9.64995,0,0.356295,3.99788,8.53591,9.85549,13.7015,16.0765,8.28946,6.61656
0.596,0.159606,9.31178,1,0.781258,2.05229,3.39996,3.50382,3.38096,4.33241,3.73199,2.86328
0.661,0.555378,10.2494,1,2.00875,6.9222,19.2312,22.1673,36.0834,47.9188,54.6562,37.687
0.361,0.153613,9.54214,0,0.833899,5.23226,11.3091,12.2918,18.2177,22.5374,12.7171,11.3197
1.307,1.14504,10.2532,1,0.521943,1.00525,2.9358,3.55355,8.56208,11.2008,21.4058,23.4667
0.321,0.417062,10.3332,1,2.38098,48.1084,147.511,175.335,377.886,508.13,519.953,444.392
0.835,0.104452,10.414,1,0.0441989,0.889973,5.50829,6.77123,19.2747,32.05,45.6653,31.7409
0.348,-0.0208302,8.84525,1,1.05566,3.40671,5.27502,5.3313,5.82165,6.23219,3.71226,3.16329
0.987,1.14749,10.2287,1,0.366438,1.12295,4.53508,5.37086,9.16211,9130.75635695748,16.7813,12.0408
0.853,1.21954,10.47,0,0.355833,1.98587,9.2074,10.4102,22.705,23142.291636722857,44.8702,31.2457
0.661,-0.478594,10.2831,0,0.301984,2.64895,11.1961,13.3316,31.0915,45.49,51.8985,36.1504
1.047,-0.701552,10.853,0,0.188866,1.57184,12.3316,15.5168,28.8066,29346.512672276982,67.1386,55.1513
0.89,1.04462,9.87682,1,0.752432,1.53755,4.68082,5.33401,7.6775,9.84951,12.7225,9.41757
0.596,-0.357081,9.87952,1,0.229596,2.54815,10.2219,12.1388,33.0059,36199.7273252703,71.1328,52.1813
0.928,0.772512,9.75136,1,0.698807,1.07924,3.18404,3.43553,3.88281,4.30991,5.52408,3.93192
0.781,0.968249,9.93122,1,0.489665,1.79791,6.0595,7.2648,11.2712,14.7166,16.9693,11.9877
0.746,0.545749,9.67157,1,0.942924,1.89163,4.38154,4.66705,5.27565,6.08471,6.90366,5.11432
0.909,0.155611,10.8997,0,0.100786,1.76875,12.3136,13.6932,30.9789,43.8037,61.3979,40.9028
0.46,0.215355,10.4348,0,0.884795,22.6998,70.0444,81.5163,149.221,190.079,169.411,137.247
0.612,0.45024,9.8398,1,1.33743,4.10191,7.96672,9.05432,12.0774,14.3647,12.6639,9.14503
0.694,0.392741,10.8612,0,0.212784,3.92276,21.3042,26.2697,51.6101,69.5447,79.6519,51.5189
0.232,-0.319084,8.70325,1,2.91647,14.1881,25.8894,28.8203,36.6516,42.2249,42.6857,37.0818
0.321,1.02123,9.94385,1,12.011,37.8186,71.0366,68.0503,89.5795,74704.07301129492,71.1917,84.8141
0.474,-0.839251,9.54576,0,0.173894,1.83861,4.95529,5.69171,8.68192,10.7559,8.53497,6.29457
0.89,0.99618,9.94619,1,1.06838,2.267,7.63124,8.26151,12.893,16.1816,25.7874,19.5983
1.449,1.68184,10.2323,1,1.82269,2.50908,4.30069,5.91581,8.14988,7.79748,10.2723,10.1546
0.257,-2.96092,7.91551,1,0.172765,0.515083,0.889651,0.809455,0.620877,1.36673,0.248581,0.0575512
0.208,-0.537566,8.45631,1,1.27181,4.86863,7.39528,8.01114,9.29554,8.79386,5.43388,3.63132
0.928,0.857108,10.4454,0,0.343691,1.27524,6.94066,7.43582,15.7348,21.6078,33.9631,21.0117
0.051,-2.36057,6.79417,1,0.778314,1.53815,1.82791,1.91,1.64339,1.62309,0.665247,0.259403
0.03,-3.12021,5.52204,1,0.238744,0.631039,1.43122,1.49778,2.78797,4.05432,14.9749,10.5524
0.853,0.897016,9.7958,1,1.18466,1.89929,4.8612,4.84456,6.49061,7.50027,8.38352,6.23184
0.474,-0.248005,9.62095,0,0.804517,6.43535,17.7079,22.7663,41.2486,57.0005,65.1651,58.9526
0.967,0.698764,10.3854,0,0.192549,1.06772,5.78942,7.063,13.2085,12617.157967199082,24.4535,17.8893
0.474,-0.614063,9.67077,0,0.568663,3.52455,7.30888,8.92852,12.5678,15.3128,12.004,9.87533
0.389,0.679112,10.2768,0,0.893591,13.0011,35.6137,40.5263,73.9423,95.3882,68.276,56.2909
0.89,1.24563,10.0765,1,1.53812,2.89574,8.91456,9.76072,13.7697,18.0675,25.4018,18.0306
0.389,-0.142257,9.058,1,0.718151,2.69982,4.32894,4.35493,4.71377,5.42174,3.79384,3.23417
0.282,0.446559,9.35402,1,6.96266,19.5803,28.4605,30.4014,35.0033,40.0034,23.1736,21.3523
0.489,0.29634,10.0313,0,1.23361,7.40734,18.8865,21.5722,34.5215,42.537,36.1306,26.9562
0.711,0.383913,10.8214,0,0.21117,4.53111,23.9275,29.3521,55.8229,74.3367,97.3048,63.025
1.152,1.41682,10.385,1,1.53795,2.62714,7.09809,7.77504,10.7338,9919.857570860357,18.4231,16.1038
0.909,1.32767,9.64099,1,2.60549,3.0652,6.63782,9.80476,4.61236,3923.210134938729,5.92894,4.8255
