,Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width,imgpaths,class
11,12,385.5,526.15,0.41,2894.68,6602.59,5693.67,0.2752,1,1,1067,643,0.0,0.19,0.63,5.18,106.36,0.82,2020-11-11,22.15,32.99,35.65,4.07,14.19,-70.0,5.0,1.12,0.47,0.0,0.07,90.55,6.38,campanian_11nov_4_fc80_20x_000001.tif,166,94,593,0,108.32,42.7,1,193.87,3.53,33.28,82,0.0,12,0.0,17097.43,614689.0,0.36,13:07:14,2020-11-11T12:07:14.519,0.33,5693.665,18796.91,19.68,train/camp_11nov_4_fc80_20x_12.png,0
18,19,503.69,545.17,0.48,1940.3,30628.66,8503.62,0.2752,1,1,644,806,0.03,0.08,0.29,11.78,143.93,0.44,2020-11-11,25.32,44.94,50.55,5.94,34.97,40.0,-55.0,1.6,0.38,0.0,0.03,144.57,4.13,campanian_11nov_4_fc80_20x_000001.tif,154,187,926,0,94.46,55.62,1,297.41,2.68,37.08,123,0.0,18,0.0,2073.39,691134.0,0.53,13:07:16,2020-11-11T12:07:16.387,0.44,8503.624,47529.51,34.82,train/camp_11nov_4_fc80_20x_19.png,0
20,21,352.47,963.9,0.55,16028.1,17598.54,4977.88,0.2752,1,1,582,601,0.33,0.63,0.8,1.6,129.53,0.97,2020-11-11,21.18,40.36,76.03,6.13,2.65,-55.0,45.0,0.01,0.99,0.0,0.38,52.31,19.75,campanian_11nov_4_fc80_20x_000001.tif,171,157,0,168,90.84,51.86,1,144.13,2.9,17.65,127,0.0,1,0.0,66401.96,473628.0,0.7,13:07:16,2020-11-11T12:07:16.569,0.48,4977.88,34422.34,28.03,train/camp_11nov_4_fc80_20x_21.png,0
26,27,535.98,581.44,0.45,5085.6,7486.65,9334.54,0.2752,1,1,229,122,0.0,0.38,0.71,2.64,105.67,0.88,2020-11-11,26.12,32.77,38.14,6.63,6.12,75.0,-10.0,0.45,0.69,0.0,0.16,62.38,10.19,campanian_11nov_4_fc80_20x_000001.tif,167,97,443,168,78.02,42.95,1,145.14,2.31,22.48,138,3464.27,5,0.0,2917.58,605718.0,0.43,13:07:17,2020-11-11T12:07:17.066,0.2,9334.536,18423.82,20.67,train/camp_11nov_4_fc80_20x_27.png,0
32,33,399.27,1455.95,0.65,18476.2,40648.43,6001.62,0.2752,1,1,358,333,0.27,0.36,0.8,2.79,163.28,0.89,2020-11-11,22.55,51.1,58.0,8.77,6.61,15.0,-45.0,0.7,0.59,0.0,0.15,100.93,15.27,campanian_11nov_4_fc80_20x_000001.tif,177,225,735,168,90.06,59.54,1,232.4,2.85,30.82,185,41180.32,0,0.0,0.0,528382.0,0.51,13:07:19,2020-11-11T12:07:19.203,0.56,6001.618,69846.01,40.29,train/camp_11nov_4_fc80_20x_33.png,0
36,37,167.45,187.11,0.81,1685.45,1803.41,1630.07,0.2752,1,1,590,172,0.67,0.67,0.95,1.5,55.29,0.97,2020-11-11,14.6,16.74,43.17,9.17,2.26,75.0,10.0,0.16,0.86,0.0,0.44,22.22,9.83,campanian_11nov_4_fc80_20x_000001.tif,81,69,1136,168,93.79,19.14,1,64.09,1.99,26.58,194,0.0,3,0.0,2744.25,244036.0,0.71,13:07:19,2020-11-11T12:07:19.611,0.13,1630.07,2457.552,14.2,train/camp_11nov_4_fc80_20x_37.png,0
47,48,413.42,749.01,0.69,8516.09,14106.66,6323.46,0.2752,1,1,383,410,0.4,0.47,0.87,2.15,113.7,0.89,2020-11-11,22.94,35.33,36.92,11.12,4.53,40.0,90.0,0.48,0.68,0.0,0.22,60.55,13.38,campanian_11nov_4_fc80_20x_000001.tif,120,150,388,347,98.53,41.0,1,147.87,3.42,25.93,237,11306.75,3,0.0,582.45,597462.0,0.58,13:07:21,2020-11-11T12:07:21.565,0.35,6323.455,23080.92,29.03,train/camp_11nov_4_fc80_20x_48.png,0
48,49,1280.08,1314.92,0.59,17686.01,31520.35,34452.58,0.2752,1,1,676,561,0.23,0.42,0.79,2.4,152.99,0.91,2020-11-11,40.37,47.82,51.9,11.26,5.36,65.0,-25.0,0.44,0.69,0.0,0.19,86.51,16.13,campanian_11nov_4_fc80_20x_000001.tif,215,161,540,347,69.78,59.97,1,205.28,1.89,28.48,240,0.0,14,0.0,5705.8,1252836.0,0.49,13:07:21,2020-11-11T12:07:21.702,0.16,34452.58,57264.25,35.12,train/camp_11nov_4_fc80_20x_49.png,0
56,57,628.49,667.99,0.36,7203.4,8253.5,11852.48,0.2752,1,1,430,654,0.0,0.46,0.6,2.15,118.81,0.88,2020-11-11,28.29,36.95,55.56,12.71,4.55,90.0,-10.0,0.18,0.85,0.0,0.22,57.46,12.63,campanian_11nov_4_fc80_20x_000001.tif,191,98,1018,347,70.69,48.57,1,140.18,1.82,27.31,272,6222.37,3,0.0,2099.95,639088.0,0.56,13:07:23,2020-11-11T12:07:23.155,0.23,11852.48,26413.01,19.75,train/camp_11nov_4_fc80_20x_57.png,0
57,58,1222.86,1465.59,0.48,20212.55,29533.71,32168.45,0.2752,1,1,497,582,0.19,0.4,0.77,2.49,159.98,0.93,2020-11-11,39.46,50.05,33.6,12.81,5.63,-65.0,20.0,0.43,0.7,0.0,0.18,93.45,16.59,campanian_11nov_4_fc80_20x_000001.tif,237,149,1118,347,98.31,65.56,1,220.1,4.14,32.44,274,15328.81,7,0.0,4462.31,1688648.0,0.69,13:07:23,2020-11-11T12:07:23.246,0.21,32168.45,65628.11,31.39,train/camp_11nov_4_fc80_20x_58.png,0
59,60,763.21,951.98,0.57,7422.35,26003.99,15861.07,0.2752,1,1,483,789,0.0,0.22,0.64,4.46,149.55,0.77,2020-11-11,31.17,46.73,41.03,13.03,11.91,55.0,-30.0,0.98,0.51,0.0,0.08,110.29,9.26,campanian_11nov_4_fc80_20x_000001.tif,171,165,34,586,90.73,55.74,1,239.09,3.05,34.85,279,0.0,22,0.0,3893.04,988423.0,0.08,13:07:23,2020-11-11T12:07:23.474,0.33,15861.07,53430.02,37.73,train/camp_11nov_4_fc80_20x_60.png,0
67,68,288.61,326.24,0.7,3798.81,4156.45,3688.25,0.2752,1,1,585,611,0.5,0.68,0.87,1.46,75.35,0.93,2020-11-11,19.17,23.13,51.33,14.16,2.11,-80.0,20.0,0.0,1.0,0.0,0.47,27.86,13.18,campanian_11nov_4_fc80_20x_000001.tif,115,86,607,586,75.79,27.89,1,82.07,1.59,22.0,304,0.0,4,0.0,4392.9,327337.0,0.6,13:07:24,2020-11-11T12:07:24.611,0.17,3688.253,6475.784,18.22,train/camp_11nov_4_fc80_20x_68.png,0
68,69,244.18,245.32,0.26,1651.15,1515.81,2870.4,0.2752,1,1,633,723,0.0,0.44,0.44,2.3,84.63,0.91,2020-11-11,17.63,26.08,60.74,14.16,5.01,75.0,-15.0,0.0,1.02,0.0,0.2,37.53,7.48,campanian_11nov_4_fc80_20x_000001.tif,148,63,695,586,63.74,38.23,1,90.03,1.11,22.23,304,1838.66,2,0.0,290.71,235400.0,0.5,13:07:24,2020-11-11T12:07:24.611,0.32,2870.397,9286.239,9.82,train/camp_11nov_4_fc80_20x_69.png,0
70,71,622.9,705.49,0.69,9576.29,12241.4,11694.8,0.2752,1,1,1049,416,0.52,0.59,0.9,1.7,106.77,0.94,2020-11-11,28.16,33.12,37.83,14.71,3.01,-70.0,0.0,0.2,0.83,0.0,0.33,48.0,15.94,campanian_11nov_4_fc80_20x_000001.tif,154,109,841,586,97.68,39.85,1,127.87,2.77,28.21,316,0.0,29,0.0,1196.27,875573.0,0.67,13:07:25,2020-11-11T12:07:25.156,0.15,11694.8,19022.85,26.01,train/camp_11nov_4_fc80_20x_71.png,0
73,74,262.18,454.57,0.99,6917.01,8265.1,3193.48,0.2752,1,1,1020,65,0.59,0.74,0.92,1.35,86.73,0.99,2020-11-11,18.27,26.75,52.19,14.99,1.64,-30.0,-65.0,0.01,0.99,0.0,0.61,28.68,17.52,campanian_11nov_4_fc80_20x_000001.tif,112,110,1114,586,93.82,28.49,1,92.41,2.9,20.43,322,2459.34,1,0.0,3453.8,370315.0,0.62,13:07:25,2020-11-11T12:07:25.428,0.32,3193.476,10018.04,24.42,train/camp_11nov_4_fc80_20x_74.png,0
74,75,349.39,365.21,0.69,6284.11,4475.19,4912.85,0.2752,1,1,520,702,0.59,0.8,0.92,1.25,75.58,1.0,2020-11-11,21.09,23.2,60.16,15.04,1.0,85.0,15.0,0.0,1.37,0.0,1.0,20.0,20.0,campanian_11nov_4_fc80_20x_000001.tif,114,85,0,759,64.3,27.49,1,80.0,1.33,22.12,323,808.94,2,0.0,1901.73,332497.0,0.8,13:07:25,2020-11-11T12:07:25.474,0.09,4912.852,6536.24,18.45,train/camp_11nov_4_fc80_20x_75.png,0
86,87,423.34,1088.31,0.54,20315.14,20219.95,6552.39,0.2752,1,1,738,254,0.31,0.66,0.82,1.52,135.48,0.98,2020-11-11,23.22,42.25,71.99,16.94,2.34,-70.0,15.0,0.0,1.06,0.0,0.43,52.19,22.26,campanian_11nov_4_fc80_20x_000002.tif,203,129,0,0,98.59,55.4,1,148.91,3.87,19.57,365,0.0,4,0.0,37621.73,611471.0,0.71,13:07:27,2020-11-11T12:07:27.384,0.45,6552.392,39498.1,28.92,train/camp_11nov_4_fc80_20x_87.png,0
87,88,130.77,131.39,0.38,394.69,1261.55,1124.92,0.2752,1,1,236,601,0.0,0.18,0.45,5.61,65.34,0.72,2020-11-11,12.9,19.94,39.39,16.94,15.55,85.0,-5.0,0.8,0.56,0.0,0.06,49.52,3.19,campanian_11nov_4_fc80_20x_000002.tif,114,56,131,0,90.65,27.59,1,105.42,1.64,35.39,365,0.0,2,0.0,318.43,188001.0,0.15,13:07:27,2020-11-11T12:07:27.384,0.35,1124.92,4151.425,10.44,train/camp_11nov_4_fc80_20x_88.png,0
101,102,651.72,973.26,0.61,12680.03,20676.83,12515.58,0.2752,1,1,337,372,0.32,0.48,0.8,2.1,133.77,0.89,2020-11-11,28.81,41.71,45.72,18.94,4.35,-45.0,45.0,0.36,0.74,0.0,0.23,67.37,15.48,campanian_11nov_4_fc80_20x_000002.tif,167,158,795,0,94.54,49.63,1,165.71,3.69,27.83,409,0.0,25,0.0,2561.48,884970.0,0.5,13:07:29,2020-11-11T12:07:29.384,0.31,12515.58,37988.01,32.7,train/camp_11nov_4_fc80_20x_102.png,0
106,107,256.15,262.89,0.38,493.87,20894.39,3084.0,0.2752,1,1,556,818,0.0,0.04,0.15,22.31,158.69,0.3,2020-11-11,18.06,49.63,61.3,19.58,68.07,20.0,-5.0,1.37,0.42,0.0,0.01,142.82,2.1,campanian_11nov_4_fc80_20x_000002.tif,142,167,0,205,94.63,60.36,2,289.85,2.04,28.83,423,0.0,13,0.0,2132.76,365480.0,0.34,13:07:30,2020-11-11T12:07:30.020,0.64,3084.0,64025.66,24.17,train/camp_11nov_4_fc80_20x_107.png,0
